description	biosample	sra	organism	host	date	location	   elevation	lat_lon
F-007	SAMN06835069	SRS2162432	root metagenome	Microthlaspi erraticum	2013-05-04	France	543	47.11 6.07
F-008	SAMN06835070	SRS2162433	root metagenome	Microthlaspi erraticum	2013-05-04	France	533	47.08 6.07
BG-011	SAMN06835047	SRS2162455	root metagenome	Microthlaspi sp.	2013-05-14	Bulgaria	740	42.67 22.84
F-009	SAMN06835071	SRS2162431	root metagenome	Microthlaspi perfoliatum	2013-05-04	France	216	47.18 5.46
F-010	SAMN06835072	SRS2162430	root metagenome	Microthlaspi erraticum	2013-05-04	France	198	47.20 5.43
F-011	SAMN06835073	SRS2162429	root metagenome	Microthlaspi perfoliatum	2013-05-04	France	446	47.32 4.60
F-013	SAMN06835074	SRS2162428	root metagenome	Microthlaspi sp.	2013-05-04	France	215	47.03 3.59
F-014	SAMN06835075	SRS2162427	root metagenome	Microthlaspi perfoliatum	2013-05-05	France	121	47.19 1.20
F-015	SAMN06835076	SRS2162426	root metagenome	Microthlaspi perfoliatum	2013-05-05	France	112	46.41 0.22
F-021	SAMN06835077	SRS2162425	root metagenome	Microthlaspi perfoliatum	2013-05-08	France	1260	44.58 5.38
F-024	SAMN06835078	SRS2162424	root metagenome	Microthlaspi erraticum	2013-05-08	France	734	44.50 5.42
GR-001	SAMN06835079	SRS2162423	root metagenome	Microthlaspi perfoliatum	2013-05-27	Greece	1065	39.81 20.77
BG-012	SAMN06835048	SRS2162452	root metagenome	Microthlaspi perfoliatum	2013-05-14	Bulgaria	773	42.66 22.81
GR-002	SAMN06835080	SRS2162421	root metagenome	Microthlaspi perfoliatum	2013-05-27	Greece	1410	38.94 21.76
GR-003	SAMN06835081	SRS2162420	root metagenome	Microthlaspi perfoliatum	2013-05-28	Greece	1283	38.91 21.74
GR-004	SAMN06835082	SRS2162441	root metagenome	Microthlaspi perfoliatum	2013-05-28	Greece	905	38.91 21.83
HR-021	SAMN06835083	SRS2162419	root metagenome	Microthlaspi erraticum	2013-05-04	Croatia	795	44.16 15.58
HR-022	SAMN06835084	SRS2162418	root metagenome	Microthlaspi erraticum	2013-05-04	Croatia	574	44.19 15.52
HR-023	SAMN06835085	SRS2162417	root metagenome	Microthlaspi perfoliatum	2013-05-04	Croatia	760	44.24 15.54
HR-025	SAMN06835086	SRS2162416	root metagenome	Microthlaspi erraticum	2013-05-04	Croatia	755	44.46 15.40
HR-028	SAMN06835087	SRS2162413	root metagenome	Microthlaspi erraticum	2013-05-04	Croatia	525	44.59 15.44
BG-013	SAMN06835049	SRS2162453	root metagenome	Microthlaspi perfoliatum	2013-05-14	Bulgaria	837	42.63 22.73
BG-014	SAMN06835050	SRS2162451	root metagenome	Microthlaspi erraticum	2013-05-14	Bulgaria	711	42.59 22.72
BG-015	SAMN06835051	SRS2162450	root metagenome	Microthlaspi erraticum	2013-05-14	Bulgaria	685	42.57 22.69
BG-023	SAMN06835052	SRS2162457	root metagenome	Microthlaspi perfoliatum	2013-05-14	Bulgaria	621	42.91 22.83
D-100	SAMN06835053	SRS2162449	root metagenome	Microthlaspi perfoliatum	2013-06-06	Germany	415	49.54 9.34
Ae1	SAMN09217837	SRS3315792	root associated fungus metagenome	Arrhenatherum elatius	2014-05-26	France	NA	48.80 7.18
Ae2	SAMN09217838	SRS3315793	root associated fungus metagenome	Arrhenatherum elatius	2014-05-26	Germany	NA	49.52 9.40
Ld	SAMN09217839	SRS3315791	root associated fungus metagenome	Lepidium draba	2014-05-26	France	NA	48.80 7.18
Mp	SAMN09217840	SRS3315790	root associated fungus metagenome	Microthlaspi perfoliatum	2014-05-26	Germany	NA	49.52 9.40
Bn1	SAMN09217841	SRS3315796	root associated fungus metagenome	Brassica napus	2014-05-26	France	NA	48.80 7.18
Bn2	SAMN09217842	SRS3315797	root associated fungus metagenome	Brassica napus	2014-05-26	Germany	NA	49.52 9.40
Cb1	SAMN09217843	SRS3315795	root associated fungus metagenome	Capsella bursa-pastoris	2014-05-26	France	NA	48.80 7.18
Cb2	SAMN09217844	SRS3315794	root associated fungus metagenome	Capsella bursa-pastoris	2014-05-26	Germany	NA	49.52 9.40
MIMS Environmental/Metagenome sample from rhizosphere metagenome	SAMN06898253	SRS2174126	rhizosphere metagenome	NA	2006-07-19	USA: North Carolina	missing41	35.44456 -80.19875
MIMS Environmental/Metagenome sample from rhizosphere metagenome	SAMN06898254	SRS2174127	rhizosphere metagenome	NA	2006-07-19	USA: North Carolina	missing42	35.44456 -80.19875
MIMS Environmental/Metagenome sample from rhizosphere metagenome	SAMN06898255	SRS2174128	rhizosphere metagenome	NA	2006-07-19	USA: North Carolina	missing43	35.44456 -80.19875
MIMS Environmental/Metagenome sample from rhizosphere metagenome	SAMN06898256	SRS2174129	rhizosphere metagenome	NA	2006-07-19	USA: North Carolina	missing44	35.43738 -80.2077
MIMS Environmental/Metagenome sample from rhizosphere metagenome	SAMN06898257	SRS2174130	rhizosphere metagenome	NA	2006-07-19	USA: North Carolina	missing45	35.43738 -80.2077
MIMS Environmental/Metagenome sample from rhizosphere metagenome	SAMN06898258	SRS2174132	rhizosphere metagenome	NA	2006-07-19	USA: North Carolina	missing46	35.43738 -80.2077
MIMS Environmental/Metagenome sample from rhizosphere metagenome	SAMN06898263	SRS2174138	rhizosphere metagenome	NA	2006-07-19	USA: North Carolina	missing51	35.44456 -80.19875
MIMS Environmental/Metagenome sample from rhizosphere metagenome	SAMN06898264	SRS2174137	rhizosphere metagenome	NA	2006-07-19	USA: North Carolina	missing52	35.44456 -80.19875
MIMS Environmental/Metagenome sample from rhizosphere metagenome	SAMN06898265	SRS2174139	rhizosphere metagenome	NA	2006-07-19	USA: North Carolina	missing53	35.44456 -80.19875
MIMS Environmental/Metagenome sample from rhizosphere metagenome	SAMN06898266	SRS2174140	rhizosphere metagenome	NA	2006-07-19	USA: North Carolina	missing54	35.43738 -80.2077
MIMS Environmental/Metagenome sample from rhizosphere metagenome	SAMN06898267	SRS2174141	rhizosphere metagenome	NA	2006-07-19	USA: North Carolina	missing55	35.43738 -80.2077
MIMS Environmental/Metagenome sample from rhizosphere metagenome	SAMN06898268	SRS2174143	rhizosphere metagenome	NA	2006-07-19	USA: North Carolina	missing56	35.43738 -80.2077
MIMS Environmental/Metagenome sample from rhizosphere metagenome	SAMN06898269	SRS2174142	rhizosphere metagenome	NA	2006-07-19	USA: North Carolina	missing57	35.44456 -80.19875
MIMS Environmental/Metagenome sample from rhizosphere metagenome	SAMN06898270	SRS2174144	rhizosphere metagenome	NA	2006-07-19	USA: North Carolina	missing58	35.44456 -80.19875
MIMS Environmental/Metagenome sample from rhizosphere metagenome	SAMN06898271	SRS2174145	rhizosphere metagenome	NA	2006-07-19	USA: North Carolina	missing59	35.44456 -80.19875
MIMS Environmental/Metagenome sample from rhizosphere metagenome	SAMN06898272	SRS2174146	rhizosphere metagenome	NA	2006-07-19	USA: North Carolina	missing60	35.44456 -80.19875
MIMS Environmental/Metagenome sample from rhizosphere metagenome	SAMN06898273	SRS2174147	rhizosphere metagenome	NA	2006-07-19	USA: North Carolina	missing61	35.43738 -80.2077
MIMS Environmental/Metagenome sample from rhizosphere metagenome	SAMN06898274	SRS2174148	rhizosphere metagenome	NA	2006-07-19	USA: North Carolina	missing62	35.43738 -80.2077
MIMS Environmental/Metagenome sample from rhizosphere metagenome	SAMN06898275	SRS2174149	rhizosphere metagenome	NA	2006-07-19	USA: North Carolina	missing63	35.43738 -80.2077
MIMS Environmental/Metagenome sample from rhizosphere metagenome	SAMN06898245	SRS2174119	rhizosphere metagenome	NA	2006-07-19	USA: North Carolina	missing33	35.44456 -80.19875
MIMS Environmental/Metagenome sample from rhizosphere metagenome	SAMN06898246	SRS2174120	rhizosphere metagenome	NA	2006-07-19	USA: North Carolina	missing34	35.44456 -80.19875
MIMS Environmental/Metagenome sample from rhizosphere metagenome	SAMN06898247	SRS2174150	rhizosphere metagenome	NA	2006-07-19	USA: North Carolina	missing35	35.44456 -80.19875
MIMS Environmental/Metagenome sample from rhizosphere metagenome	SAMN06898248	SRS2174121	rhizosphere metagenome	NA	2006-07-19	USA: North Carolina	missing36	35.43738 -80.2077
MIMS Environmental/Metagenome sample from rhizosphere metagenome	SAMN06898249	SRS2174122	rhizosphere metagenome	NA	2006-07-19	USA: North Carolina	missing37	35.43738 -80.2077
MIMS Environmental/Metagenome sample from rhizosphere metagenome	SAMN06898250	SRS2174123	rhizosphere metagenome	NA	2006-07-19	USA: North Carolina	missing38	35.43738 -80.2077
MIMS Environmental/Metagenome sample from rhizosphere metagenome	SAMN06898222	SRS2174096	rhizosphere metagenome	NA	2006-07-19	USA: Tennessee	missing10	36.08445 -85.51517
MIMS Environmental/Metagenome sample from rhizosphere metagenome	SAMN06898223	SRS2174098	rhizosphere metagenome	NA	2006-07-19	USA: Tennessee	missing11	36.08445 -85.51517
MIMS Environmental/Metagenome sample from rhizosphere metagenome	SAMN06898224	SRS2174100	rhizosphere metagenome	NA	2006-07-19	USA: Tennessee	missing12	36.14318 -85.56391
MIMS Environmental/Metagenome sample from rhizosphere metagenome	SAMN06898225	SRS2174099	rhizosphere metagenome	NA	2006-07-19	USA: Tennessee	missing13	36.14318 -85.56391
MIMS Environmental/Metagenome sample from rhizosphere metagenome	SAMN06898226	SRS2174101	rhizosphere metagenome	NA	2006-07-19	USA: Tennessee	missing14	36.14318 -85.56391
MIMS Environmental/Metagenome sample from rhizosphere metagenome	SAMN06898227	SRS2174103	rhizosphere metagenome	NA	2006-07-19	USA: Tennessee	missing15	36.14318 -85.56391
MIMS Environmental/Metagenome sample from rhizosphere metagenome	SAMN06898228	SRS2174102	rhizosphere metagenome	NA	2006-07-19	USA: Tennessee	missing16	36.08533 -85.50285
MIMS Environmental/Metagenome sample from rhizosphere metagenome	SAMN06898229	SRS2174104	rhizosphere metagenome	NA	2006-07-19	USA: Tennessee	missing17	36.08533 -85.50285
MIMS Environmental/Metagenome sample from rhizosphere metagenome	SAMN06898230	SRS2174105	rhizosphere metagenome	NA	2006-07-19	USA: Tennessee	missing18	36.08533 -85.50285
MIMS Environmental/Metagenome sample from rhizosphere metagenome	SAMN06898231	SRS2174106	rhizosphere metagenome	NA	2006-07-19	USA: Tennessee	missing19	36.08533 -85.50285
MIMS Environmental/Metagenome sample from rhizosphere metagenome	SAMN06898232	SRS2174107	rhizosphere metagenome	NA	2006-07-19	USA: Tennessee	missing20	36.06029 -85.49553
MIMS Environmental/Metagenome sample from rhizosphere metagenome	SAMN06898233	SRS2174108	rhizosphere metagenome	NA	2006-07-19	USA: Tennessee	missing21	36.06029 -85.49553
MIMS Environmental/Metagenome sample from rhizosphere metagenome	SAMN06898234	SRS2174109	rhizosphere metagenome	NA	2006-07-19	USA: Tennessee	missing22	36.06029 -85.49553
MIMS Environmental/Metagenome sample from rhizosphere metagenome	SAMN06898235	SRS2174110	rhizosphere metagenome	NA	2006-07-19	USA: Tennessee	missing23	36.07007 -85.504
MIMS Environmental/Metagenome sample from rhizosphere metagenome	SAMN06898236	SRS2174111	rhizosphere metagenome	NA	2006-07-19	USA: Tennessee	missing24	36.07007 -85.504
MIMS Environmental/Metagenome sample from rhizosphere metagenome	SAMN06898237	SRS2174112	rhizosphere metagenome	NA	2006-07-19	USA: Tennessee	missing25	36.07007 -85.504
MIMS Environmental/Metagenome sample from rhizosphere metagenome	SAMN06898238	SRS2174114	rhizosphere metagenome	NA	2006-07-19	USA: Tennessee	missing26	36.1264 -85.5665
MIMS Environmental/Metagenome sample from rhizosphere metagenome	SAMN06898239	SRS2174113	rhizosphere metagenome	NA	2006-07-19	USA: Tennessee	missing27	36.1264 -85.5665
MIMS Environmental/Metagenome sample from rhizosphere metagenome	SAMN06898240	SRS2174115	rhizosphere metagenome	NA	2006-07-19	USA: Tennessee	missing28	36.1264 -85.5665
MIMS Environmental/Metagenome sample from rhizosphere metagenome	SAMN06898241	SRS2174131	rhizosphere metagenome	NA	2006-07-19	USA: Tennessee	missing29	36.1264 -85.5665
MIMS Environmental/Metagenome sample from rhizosphere metagenome	SAMN06898216	SRS2174091	rhizosphere metagenome	NA	2006-07-19	USA: Tennessee	missing4	36.029 -85.48231
MIMS Environmental/Metagenome sample from rhizosphere metagenome	SAMN06898217	SRS2174092	rhizosphere metagenome	NA	2006-07-19	USA: Tennessee	missing5	36.029 -85.48231
MIMS Environmental/Metagenome sample from rhizosphere metagenome	SAMN06898218	SRS2174093	rhizosphere metagenome	NA	2006-07-19	USA: Tennessee	missing6	36.029 -85.48231
MIMS Environmental/Metagenome sample from rhizosphere metagenome	SAMN06898219	SRS2174094	rhizosphere metagenome	NA	2006-07-19	USA: Tennessee	missing7	36.029 -85.48231
MIMS Environmental/Metagenome sample from rhizosphere metagenome	SAMN06898220	SRS2174095	rhizosphere metagenome	NA	2006-07-19	USA: Tennessee	missing8	36.08445 -85.51517
MIMS Environmental/Metagenome sample from rhizosphere metagenome	SAMN06898221	SRS2174097	rhizosphere metagenome	NA	2006-07-19	USA: Tennessee	missing9	36.08445 -85.51517
MIMS Environmental/Metagenome sample from rhizosphere metagenome	SAMN06898253	SRS2174126	rhizosphere metagenome	NA	2006-07-19	USA: North Carolina	missing41	35.44456 -80.19875
MIMS Environmental/Metagenome sample from rhizosphere metagenome	SAMN06898254	SRS2174127	rhizosphere metagenome	NA	2006-07-19	USA: North Carolina	missing42	35.44456 -80.19875
MIMS Environmental/Metagenome sample from rhizosphere metagenome	SAMN06898255	SRS2174128	rhizosphere metagenome	NA	2006-07-19	USA: North Carolina	missing43	35.44456 -80.19875
MIMS Environmental/Metagenome sample from rhizosphere metagenome	SAMN06898256	SRS2174129	rhizosphere metagenome	NA	2006-07-19	USA: North Carolina	missing44	35.43738 -80.2077
MIMS Environmental/Metagenome sample from rhizosphere metagenome	SAMN06898257	SRS2174130	rhizosphere metagenome	NA	2006-07-19	USA: North Carolina	missing45	35.43738 -80.2077
MIMS Environmental/Metagenome sample from rhizosphere metagenome	SAMN06898258	SRS2174132	rhizosphere metagenome	NA	2006-07-19	USA: North Carolina	missing46	35.43738 -80.2077
MIMS Environmental/Metagenome sample from rhizosphere metagenome	SAMN06898263	SRS2174138	rhizosphere metagenome	NA	2006-07-19	USA: North Carolina	missing51	35.44456 -80.19875
MIMS Environmental/Metagenome sample from rhizosphere metagenome	SAMN06898264	SRS2174137	rhizosphere metagenome	NA	2006-07-19	USA: North Carolina	missing52	35.44456 -80.19875
MIMS Environmental/Metagenome sample from rhizosphere metagenome	SAMN06898265	SRS2174139	rhizosphere metagenome	NA	2006-07-19	USA: North Carolina	missing53	35.44456 -80.19875
MIMS Environmental/Metagenome sample from rhizosphere metagenome	SAMN06898266	SRS2174140	rhizosphere metagenome	NA	2006-07-19	USA: North Carolina	missing54	35.43738 -80.2077
MIMS Environmental/Metagenome sample from rhizosphere metagenome	SAMN06898267	SRS2174141	rhizosphere metagenome	NA	2006-07-19	USA: North Carolina	missing55	35.43738 -80.2077
MIMS Environmental/Metagenome sample from rhizosphere metagenome	SAMN06898268	SRS2174143	rhizosphere metagenome	NA	2006-07-19	USA: North Carolina	missing56	35.43738 -80.2077
MIMS Environmental/Metagenome sample from rhizosphere metagenome	SAMN06898269	SRS2174142	rhizosphere metagenome	NA	2006-07-19	USA: North Carolina	missing57	35.44456 -80.19875
MIMS Environmental/Metagenome sample from rhizosphere metagenome	SAMN06898270	SRS2174144	rhizosphere metagenome	NA	2006-07-19	USA: North Carolina	missing58	35.44456 -80.19875
MIMS Environmental/Metagenome sample from rhizosphere metagenome	SAMN06898271	SRS2174145	rhizosphere metagenome	NA	2006-07-19	USA: North Carolina	missing59	35.44456 -80.19875
MIMS Environmental/Metagenome sample from rhizosphere metagenome	SAMN06898272	SRS2174146	rhizosphere metagenome	NA	2006-07-19	USA: North Carolina	missing60	35.44456 -80.19875
MIMS Environmental/Metagenome sample from rhizosphere metagenome	SAMN06898273	SRS2174147	rhizosphere metagenome	NA	2006-07-19	USA: North Carolina	missing61	35.43738 -80.2077
MIMS Environmental/Metagenome sample from rhizosphere metagenome	SAMN06898274	SRS2174148	rhizosphere metagenome	NA	2006-07-19	USA: North Carolina	missing62	35.43738 -80.2077
MIMS Environmental/Metagenome sample from rhizosphere metagenome	SAMN06898275	SRS2174149	rhizosphere metagenome	NA	2006-07-19	USA: North Carolina	missing63	35.43738 -80.2077
MIMS Environmental/Metagenome sample from rhizosphere metagenome	SAMN06898245	SRS2174119	rhizosphere metagenome	NA	2006-07-19	USA: North Carolina	missing33	35.44456 -80.19875
MIMS Environmental/Metagenome sample from rhizosphere metagenome	SAMN06898246	SRS2174120	rhizosphere metagenome	NA	2006-07-19	USA: North Carolina	missing34	35.44456 -80.19875
MIMS Environmental/Metagenome sample from rhizosphere metagenome	SAMN06898247	SRS2174150	rhizosphere metagenome	NA	2006-07-19	USA: North Carolina	missing35	35.44456 -80.19875
MIMS Environmental/Metagenome sample from rhizosphere metagenome	SAMN06898248	SRS2174121	rhizosphere metagenome	NA	2006-07-19	USA: North Carolina	missing36	35.43738 -80.2077
MIMS Environmental/Metagenome sample from rhizosphere metagenome	SAMN06898249	SRS2174122	rhizosphere metagenome	NA	2006-07-19	USA: North Carolina	missing37	35.43738 -80.2077
MIMS Environmental/Metagenome sample from rhizosphere metagenome	SAMN06898250	SRS2174123	rhizosphere metagenome	NA	2006-07-19	USA: North Carolina	missing38	35.43738 -80.2077
MIMS Environmental/Metagenome sample from rhizosphere metagenome	SAMN06898213	SRS2174088	rhizosphere metagenome	NA	2006-07-19	USA: Tennessee	missing1	36.0832 -85.4823
MIMS Environmental/Metagenome sample from rhizosphere metagenome	SAMN06898222	SRS2174096	rhizosphere metagenome	NA	2006-07-19	USA: Tennessee	missing10	36.08445 -85.51517
MIMS Environmental/Metagenome sample from rhizosphere metagenome	SAMN06898223	SRS2174098	rhizosphere metagenome	NA	2006-07-19	USA: Tennessee	missing11	36.08445 -85.51517
MIMS Environmental/Metagenome sample from rhizosphere metagenome	SAMN06898224	SRS2174100	rhizosphere metagenome	NA	2006-07-19	USA: Tennessee	missing12	36.14318 -85.56391
MIMS Environmental/Metagenome sample from rhizosphere metagenome	SAMN06898225	SRS2174099	rhizosphere metagenome	NA	2006-07-19	USA: Tennessee	missing13	36.14318 -85.56391
MIMS Environmental/Metagenome sample from rhizosphere metagenome	SAMN06898226	SRS2174101	rhizosphere metagenome	NA	2006-07-19	USA: Tennessee	missing14	36.14318 -85.56391
MIMS Environmental/Metagenome sample from rhizosphere metagenome	SAMN06898227	SRS2174103	rhizosphere metagenome	NA	2006-07-19	USA: Tennessee	missing15	36.14318 -85.56391
MIMS Environmental/Metagenome sample from rhizosphere metagenome	SAMN06898228	SRS2174102	rhizosphere metagenome	NA	2006-07-19	USA: Tennessee	missing16	36.08533 -85.50285
MIMS Environmental/Metagenome sample from rhizosphere metagenome	SAMN06898229	SRS2174104	rhizosphere metagenome	NA	2006-07-19	USA: Tennessee	missing17	36.08533 -85.50285
MIMS Environmental/Metagenome sample from rhizosphere metagenome	SAMN06898230	SRS2174105	rhizosphere metagenome	NA	2006-07-19	USA: Tennessee	missing18	36.08533 -85.50285
MIMS Environmental/Metagenome sample from rhizosphere metagenome	SAMN06898231	SRS2174106	rhizosphere metagenome	NA	2006-07-19	USA: Tennessee	missing19	36.08533 -85.50285
MIMS Environmental/Metagenome sample from rhizosphere metagenome	SAMN06898214	SRS2174089	rhizosphere metagenome	NA	2006-07-19	USA: Tennessee	missing2	36.0832 -85.4823
MIMS Environmental/Metagenome sample from rhizosphere metagenome	SAMN06898232	SRS2174107	rhizosphere metagenome	NA	2006-07-19	USA: Tennessee	missing20	36.06029 -85.49553
MIMS Environmental/Metagenome sample from rhizosphere metagenome	SAMN06898233	SRS2174108	rhizosphere metagenome	NA	2006-07-19	USA: Tennessee	missing21	36.06029 -85.49553
MIMS Environmental/Metagenome sample from rhizosphere metagenome	SAMN06898234	SRS2174109	rhizosphere metagenome	NA	2006-07-19	USA: Tennessee	missing22	36.06029 -85.49553
MIMS Environmental/Metagenome sample from rhizosphere metagenome	SAMN06898235	SRS2174110	rhizosphere metagenome	NA	2006-07-19	USA: Tennessee	missing23	36.07007 -85.504
MIMS Environmental/Metagenome sample from rhizosphere metagenome	SAMN06898236	SRS2174111	rhizosphere metagenome	NA	2006-07-19	USA: Tennessee	missing24	36.07007 -85.504
MIMS Environmental/Metagenome sample from rhizosphere metagenome	SAMN06898237	SRS2174112	rhizosphere metagenome	NA	2006-07-19	USA: Tennessee	missing25	36.07007 -85.504
MIMS Environmental/Metagenome sample from rhizosphere metagenome	SAMN06898238	SRS2174114	rhizosphere metagenome	NA	2006-07-19	USA: Tennessee	missing26	36.1264 -85.5665
MIMS Environmental/Metagenome sample from rhizosphere metagenome	SAMN06898239	SRS2174113	rhizosphere metagenome	NA	2006-07-19	USA: Tennessee	missing27	36.1264 -85.5665
MIMS Environmental/Metagenome sample from rhizosphere metagenome	SAMN06898240	SRS2174115	rhizosphere metagenome	NA	2006-07-19	USA: Tennessee	missing28	36.1264 -85.5665
MIMS Environmental/Metagenome sample from rhizosphere metagenome	SAMN06898241	SRS2174131	rhizosphere metagenome	NA	2006-07-19	USA: Tennessee	missing29	36.1264 -85.5665
MIMS Environmental/Metagenome sample from rhizosphere metagenome	SAMN06898215	SRS2174090	rhizosphere metagenome	NA	2006-07-19	USA: Tennessee	missing3	36.0832 -85.4823
MIMS Environmental/Metagenome sample from rhizosphere metagenome	SAMN06898219	SRS2174094	rhizosphere metagenome	NA	2006-07-19	USA: Tennessee	missing7	36.029 -85.48231
MIMS Environmental/Metagenome sample from rhizosphere metagenome	SAMN06898220	SRS2174095	rhizosphere metagenome	NA	2006-07-19	USA: Tennessee	missing8	36.08445 -85.51517
MIMS Environmental/Metagenome sample from rhizosphere metagenome	SAMN06898221	SRS2174097	rhizosphere metagenome	NA	2006-07-19	USA: Tennessee	missing9	36.08445 -85.51517
MIMS Environmental/Metagenome sample from rhizosphere metagenome	SAMN06898253	SRS2174126	rhizosphere metagenome	NA	2006-07-19	USA: North Carolina	missing41	35.44456 -80.19875
MIMS Environmental/Metagenome sample from rhizosphere metagenome	SAMN06898254	SRS2174127	rhizosphere metagenome	NA	2006-07-19	USA: North Carolina	missing42	35.44456 -80.19875
MIMS Environmental/Metagenome sample from rhizosphere metagenome	SAMN06898255	SRS2174128	rhizosphere metagenome	NA	2006-07-19	USA: North Carolina	missing43	35.44456 -80.19875
MIMS Environmental/Metagenome sample from rhizosphere metagenome	SAMN06898256	SRS2174129	rhizosphere metagenome	NA	2006-07-19	USA: North Carolina	missing44	35.43738 -80.2077
MIMS Environmental/Metagenome sample from rhizosphere metagenome	SAMN06898256	SRS2174129	rhizosphere metagenome	NA	2006-07-19	USA: North Carolina	missing44	35.43738 -80.2077
MIMS Environmental/Metagenome sample from rhizosphere metagenome	SAMN06898257	SRS2174130	rhizosphere metagenome	NA	2006-07-19	USA: North Carolina	missing45	35.43738 -80.2077
MIMS Environmental/Metagenome sample from rhizosphere metagenome	SAMN06898257	SRS2174130	rhizosphere metagenome	NA	2006-07-19	USA: North Carolina	missing45	35.43738 -80.2077
MIMS Environmental/Metagenome sample from rhizosphere metagenome	SAMN06898258	SRS2174132	rhizosphere metagenome	NA	2006-07-19	USA: North Carolina	missing46	35.43738 -80.2077
MIMS Environmental/Metagenome sample from rhizosphere metagenome	SAMN06898258	SRS2174132	rhizosphere metagenome	NA	2006-07-19	USA: North Carolina	missing46	35.43738 -80.2077
MIMS Environmental/Metagenome sample from rhizosphere metagenome	SAMN06898263	SRS2174138	rhizosphere metagenome	NA	2006-07-19	USA: North Carolina	missing51	35.44456 -80.19875
MIMS Environmental/Metagenome sample from rhizosphere metagenome	SAMN06898263	SRS2174138	rhizosphere metagenome	NA	2006-07-19	USA: North Carolina	missing51	35.44456 -80.19875
MIMS Environmental/Metagenome sample from rhizosphere metagenome	SAMN06898264	SRS2174137	rhizosphere metagenome	NA	2006-07-19	USA: North Carolina	missing52	35.44456 -80.19875
MIMS Environmental/Metagenome sample from rhizosphere metagenome	SAMN06898264	SRS2174137	rhizosphere metagenome	NA	2006-07-19	USA: North Carolina	missing52	35.44456 -80.19875
MIMS Environmental/Metagenome sample from rhizosphere metagenome	SAMN06898265	SRS2174139	rhizosphere metagenome	NA	2006-07-19	USA: North Carolina	missing53	35.44456 -80.19875
MIMS Environmental/Metagenome sample from rhizosphere metagenome	SAMN06898265	SRS2174139	rhizosphere metagenome	NA	2006-07-19	USA: North Carolina	missing53	35.44456 -80.19875
MIMS Environmental/Metagenome sample from rhizosphere metagenome	SAMN06898266	SRS2174140	rhizosphere metagenome	NA	2006-07-19	USA: North Carolina	missing54	35.43738 -80.2077
MIMS Environmental/Metagenome sample from rhizosphere metagenome	SAMN06898266	SRS2174140	rhizosphere metagenome	NA	2006-07-19	USA: North Carolina	missing54	35.43738 -80.2077
MIMS Environmental/Metagenome sample from rhizosphere metagenome	SAMN06898267	SRS2174141	rhizosphere metagenome	NA	2006-07-19	USA: North Carolina	missing55	35.43738 -80.2077
MIMS Environmental/Metagenome sample from rhizosphere metagenome	SAMN06898267	SRS2174141	rhizosphere metagenome	NA	2006-07-19	USA: North Carolina	missing55	35.43738 -80.2077
MIMS Environmental/Metagenome sample from rhizosphere metagenome	SAMN06898268	SRS2174143	rhizosphere metagenome	NA	2006-07-19	USA: North Carolina	missing56	35.43738 -80.2077
MIMS Environmental/Metagenome sample from rhizosphere metagenome	SAMN06898268	SRS2174143	rhizosphere metagenome	NA	2006-07-19	USA: North Carolina	missing56	35.43738 -80.2077
